name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-40-2,1,1.34,12,2,97,391.721,0,3.6643,772,391.721,2.59415,381.475,456.906,0.036897,479,0.135075,43,333,173,149,8,3,0,0,0,97,9,5/2400,2,2.18646,471.334
poi-40-2,1,1.34,12,2,194,636.038,0,0.673565,1,636.038,0.55327,636.038,636.038,0.0001,1,0.08461,11,14,0,3,10,1,0,0,0,193,16,7/2400,0,0.393806,636.038
poi-40-2,1,1.34,12,3,97,391.721,0,8.80957,2013,391.721,6.37988,360.834,451.447,0.095881,1193,0.118991,51,429,210,213,5,1,0,0,0,95,9,5/2400,0,3.43124,471.334
poi-40-2,1,1.34,12,3,194,636.038,0,0.883553,1,636.038,0.723793,636.038,636.436,0.000239,2,0.076198,8,5,0,3,2,0,0,0,0,193,16,7/2400,0,0.525978,636.038
poi-40-2,1,1.34,24,1,97,444.089,0,48.4814,3216,444.089,19.1206,373.744,560.828,0.349253,1900,0.469225,125,2835,2129,474,159,18,0,30,25,97,8,6/6248,0,4.67943,573.462
poi-40-2,1,1.34,24,1,194,690.588,0,243.363,6120,690.588,87.0315,652.13,705.975,0.849622,4279,0.433575,69,3438,2824,279,284,4,0,28,19,193,12,12/6248,14,16.158,703.374
poi-40-2,1,1.34,24,2,97,499.089,0,774.586,18467,499.089,104.09,524.097,641.219,1.49678,11982,2.13734,285,4476,2711,615,705,134,0,181,130,97,8,7/6248,0,51.0786,628.16
poi-40-2,1,1.34,24,2,194,714.277,0,880.861,16593,714.277,103.128,709.778,734.115,2.25566,9669,0.617184,69,5744,4973,243,423,14,0,49,42,193,10,14/6248,14,25.5899,730.465
poi-40-2,1,1.34,24,3,97,513.089,9.47708E-05,3251.85,125450,513.137,67.3139,537.325,664.355,10.7157,75169,3.91006,360,9820,7990,319,804,178,0,301,228,97,8,8/6248,0,78.2372,637.702
poi-40-2,1,1.34,24,3,194,719.158,0.0149091,3600.57,44933,729.88,33.0905,593.192,737.85,5.77646,30077,2.43116,197,-,-,-,-,-,-,-,-,-,-,-,-,58.4019,735.132
poi-40-2,2,0.67,12,1,97,346.533,0,2.06784,31,346.533,1.84023,315.373,375.735,0.009721,53,0.060589,30,201,100,101,0,0,0,0,0,97,13,0/2400,0,0.797775,402.794
poi-40-2,2,0.67,12,1,194,562.262,0,1.18482,3,562.262,1.09979,562.262,562.867,0.003738,25,0.065265,17,108,13,93,1,0,0,1,0,190,22,0/2400,0,0.817134,567.038
poi-40-2,2,0.67,12,2,97,346.533,0,3.17324,56,346.533,2.77424,333.853,380.702,0.011486,71,0.069709,32,212,75,137,0,0,0,0,0,97,13,0/2400,0,3.42057,402.794
poi-40-2,2,0.67,12,2,194,562.262,0,1.75686,22,562.262,1.53475,561.384,564.513,0.006201,40,0.069572,12,60,28,32,0,0,0,0,0,190,22,0/2400,0,0.712039,567.038
poi-40-2,2,0.67,12,3,97,346.533,0,3.1506,349,346.533,1.98056,304.653,390.285,0.030157,208,0.139242,32,252,158,91,1,0,0,2,0,97,13,0/2400,0,4.28279,402.794
poi-40-2,2,0.67,12,3,194,562.262,0,2.78386,4,562.262,2.61562,562.262,563.169,0.006862,38,0.078745,15,101,32,69,0,0,0,0,0,189,22,0/2400,0,0.945317,567.038
poi-40-2,2,0.67,24,1,97,407.251,0,14.2272,111,407.251,10.7239,402.194,450.028,0.089674,95,0.171171,69,1013,638,323,38,1,0,9,4,97,9,7/6248,0,5.38154,461.474
poi-40-2,2,0.67,24,1,194,566.262,0,4.36288,1,566.262,4.16784,566.262,567.334,0.010739,32,0.118987,29,206,79,118,4,0,0,5,0,190,22,1/6248,0,2.50927,568.038
